1,1,4,Bensonhurst,2018-12-19 05:04:55,Bart,Anderson
2,0,5,Vail,2020-06-30 00:39:32,Martin,Orlin
3,0,3,Washington,2020-09-17 09:59:37,Debby,Zweifelhofer
4,1,1,Zanesville,2020-06-12 08:50:15,Joshua,Olsen
5,1,4,Vail,2021-03-07 05:32:03,Bob,Mara
6,1,2,Chicago,2021-07-10 14:43:42,Clint,Ingersol
7,0,4,Oak Creek,2019-09-10 14:12:06,Heloisa,Underman
8,1,3,Gansevoort,2019-04-25 06:33:32,Rob,Schaefer
9,1,2,Albany,2019-03-13 17:10:31,Sam,Noodleman
10,0,3,Oak Creek,2020-10-20 13:58:57,Alfred,Hertz
11,0,5,Oak Creek,2019-12-25 10:32:47,Emily,Levinson
12,0,1,Hialeah,2021-07-25 06:09:26,Janice,Zucherro
13,1,5,Larchmont,2020-08-15 06:45:02,Howard,Jung
14,0,3,Bensonhurst,2019-11-03 02:36:03,Fred,Vonnegut
15,1,5,Newton,2019-08-16 19:50:54,Fred,Young
16,0,5,Vail,2021-06-15 11:40:57,David,Xerxes
17,1,5,Tampa,2021-06-25 22:37:52,Christine,Quigley
18,0,1,Zanesville,2019-07-27 10:15:46,Kevin,Pascal
19,1,2,Oak Creek,2021-05-02 22:17:34,Yan,Donaldson
20,1,4,Jackson,2021-07-30 07:53:40,Bob,Ihringer
21,0,4,Albany,2019-10-11 14:04:15,Zeke,Lee
22,1,3,Jackson,2020-11-06 04:29:15,Martin,Loveluck
23,1,3,Chicago,2021-02-21 07:48:32,Usha,Xander
24,1,5,Bensonhurst,2020-03-15 20:21:09,Debby,Sorenson
25,0,2,Ukiah,2019-06-21 13:38:54,Elvira,Quigley
26,1,5,Elmhurst,2021-02-10 03:58:52,Pat,Jafari
27,1,2,Chicago,2021-04-17 01:15:17,Neil,Smith
28,0,2,Denver,2020-02-10 19:44:17,Kristen,Pape
29,1,2,Larchmont,2019-08-28 09:38:08,Marvin,Yakulis
30,0,4,Larchmont,2020-09-20 19:55:14,Heloisa,Orlin
31,0,1,Miami,2019-01-03 07:16:53,Vincent,Diavolo
32,0,5,Newton,2020-04-02 09:44:03,Wilma,Bachman
33,0,1,St Louis,2021-05-08 15:45:37,Jeff,Nagel
34,1,5,Reston,2019-02-26 19:28:25,Zelda,Browne
35,0,1,Fargo,2021-03-18 04:16:42,Stuart,Quigley
36,0,4,Elmhurst,2019-09-17 10:52:21,Emma,Zweifelhofer
37,1,2,Elmhurst,2020-02-13 08:48:58,Jules,Ramsay
38,0,4,Reston,2020-02-14 07:14:59,Rhonda,Vonnegut
39,1,3,Youngstown,2021-01-20 21:09:47,Kirsten,Semmens
40,0,3,Oak Creek,2020-09-23 01:20:45,Terry,Klein
41,1,4,Queensbury,2021-02-22 00:48:17,Elvira,Ximines
42,0,1,Hialeah,2020-11-16 02:39:33,Brenda,Cheng
43,1,2,Jackson,2019-12-19 08:51:25,Rhonda,Quine
44,0,1,Pueblo,2020-12-11 19:36:08,Lawrence,Nelson
45,0,3,Queensbury,2019-10-31 09:00:42,Umberto,Jones
46,0,2,Queensbury,2020-07-08 00:35:33,Wilma,Ipsen
47,1,4,Chicago,2019-06-09 08:36:54,Christen,Quincy
48,0,3,Vail,2021-08-05 16:00:48,Imelda,Houseman
49,0,4,Larchmont,2020-06-10 12:35:48,Violet,Jafari
50,0,1,Queensbury,2019-08-09 04:54:05,Diane,Alton
51,0,4,Islip,2020-01-28 09:26:38,Susan,Ott
52,0,3,Vail,2021-07-13 00:07:29,Jose,Yeats
53,0,1,St Louis,2019-12-10 21:31:05,Bart,Williams
54,1,4,Albany,2021-03-10 18:06:17,Uma,Eastman
55,1,4,Pueblo,2020-01-02 17:41:02,Violet,West
56,1,3,Tampa,2021-05-07 17:20:04,Paul,Hertz
57,0,5,Albany,2019-10-09 10:58:52,Yan,Emerson
58,0,5,Newton,2020-05-16 19:03:53,Angelo,Quilty
59,0,1,Gansevoort,2019-07-11 00:08:33,Ted,Ng
60,1,1,Zanesville,2021-06-27 02:59:19,John,Nathanson
61,1,1,Islip,2021-08-11 08:26:10,Zelda,Press
62,0,3,Miami,2019-09-22 07:15:27,Chris,Xiang
63,1,2,Denver,2020-12-26 04:43:37,Lola,Xiang
64,0,4,Bensonhurst,2021-03-29 00:56:56,Joe,Townsend
65,1,5,St Louis,2020-03-04 15:52:40,Elvis,O'Donnell
66,0,4,Hialeah,2020-07-18 03:11:18,Bill,Diavolo
67,1,3,Oak Creek,2021-06-02 06:34:47,Joe,Yezek
68,0,5,Larchmont,2019-09-20 03:43:12,Lydia,Ulman
69,1,3,Miami,2020-04-26 17:10:43,Kristen,Yakulis
